company_uuid,person_uuid,role,title
a023e3a4-0a18-c0c4-7e45-e3495cde7400,aeef8fa0-3b0f-f435-0a9a-49dd6a591c23,c_suite,Chief Technology Officer
a023e3a4-0a18-c0c4-7e45-e3495cde7400,3e706821-15c7-45d8-999c-91d3d3a4d1f0,c_suite,Founder & CEO
a0b3a595-7c31-456a-5387-9a748388c5b1,d9cd822b-925d-e4bf-c99c-81f89e8a8d6b,c_suite,Founder & Managing Director
a0b3a595-7c31-456a-5387-9a748388c5b1,e1f2b6ff-d625-a53f-5b3c-9f7ba3d684af,other,Senior Manager
a0b3a595-7c31-456a-5387-9a748388c5b1,c320d5be-5b85-4c2c-9ebe-525868b6a170,other,Senior Digital Marketing Manager
a10149ce-f76f-540f-dae9-dedcaced712b,d3b077a8-44b1-50bc-dc7b-64c558f03976,c_suite,Co-Founder and CTO
5cd975dd-ca92-66d9-5b7c-ced2995c0d0c,4b003c85-a74b-a8cc-7ee2-90a566de7fa0,founder,Founder
5cd975dd-ca92-66d9-5b7c-ced2995c0d0c,bdff129d-6b5c-53a9-6dd8-8e1e28037316,c_suite,CTO & Founder
5cd975dd-ca92-66d9-5b7c-ced2995c0d0c,3eb8e77f-e128-573d-d5c4-5c2f16b224b8,c_suite,Chief Financial Officer
5cd975dd-ca92-66d9-5b7c-ced2995c0d0c,769f1fd0-52b1-470f-99d8-ce63ae6805a7,c_suite,Chief Product Officer
76b5010b-7f8e-52f8-f31a-dfdbaf2b85d7,ca4ed980-1c70-04c1-a789-30ad975f5fcf,c_suite,Co-founder & CEO
c271854c-23cf-422b-be9f-a95769a9ccd6,26c403e9-614d-53db-8a24-0da067426f36,c_suite,Co-Founder & CEO
c271854c-23cf-422b-be9f-a95769a9ccd6,9ee133d9-8455-4401-806e-02b4c8f086b4,vp,Head of Product
c271854c-23cf-422b-be9f-a95769a9ccd6,8da7462b-d419-4341-8210-a2646aa284e9,founder,Co-Founder
c271854c-23cf-422b-be9f-a95769a9ccd6,0a565a82-2c7b-4482-97c6-fdf40e773078,vp,Head of Operations
71a76d8d-4eb9-557a-26a5-dab7ba167d0f,e268c30d-fbb6-5943-8a49-c122957aa069,c_suite,CEO
71a76d8d-4eb9-557a-26a5-dab7ba167d0f,35db1b5b-5db8-0b3b-4f01-2a1a541142ab,c_suite,Chief Operating Officer
71a76d8d-4eb9-557a-26a5-dab7ba167d0f,dd9e5b98-85f2-cb03-c242-071640a8744d,other,Chief Scientific Officer
8a969f78-ce78-6d9b-dd08-01f544911393,13dd729f-6c0b-f0d2-bf0e-05a152a57fd9,founder,Executive Board Chair/Co-Founder/Investor
08212752-0a55-bf62-e5c5-909a23862c73,516b09cc-a00b-266a-0f2c-170118628401,c_suite,Founder & CEO
62516ebe-b1f4-7d7f-7339-877e9f6b800b,7c3e26b0-2b30-49be-9f21-d645d199aac8,c_suite,CEO and Founder
62516ebe-b1f4-7d7f-7339-877e9f6b800b,86435d0d-be55-433f-b935-e0be2eb1fd48,c_suite,Chief AI Officer
62516ebe-b1f4-7d7f-7339-877e9f6b800b,591d8137-a962-4d32-89f3-5c9c192d8067,vp,Senior Vice President of Foundation Models
