investor_uuid,permalink,name,entity_def_id,investor_type,investment_count,website
22d379fd-a286-4d62-8392-0a2ec75f3db9,mauricio-pretto,Mauricio Pretto,person,angel_investor,,
0f8f07b1-e3b2-d1b3-f23a-11ed0717d1b9,mauro-goncalves-filho,Mauro Goncalves Filho,person,angel_investor,,
c76a7598-258a-47d9-b6c8-7ccda8eb5f1a,rabbit-ventures,Rabbit Ventures,organization,"accelerator,venture_capital",,https://rabbitvc.com/
15a01e4a-de9b-7611-42b9-38723bd8ba81,eogf-partners,EOGF Partners,organization,venture_capital,,http://eogfpartners.com/
19a25dc7-e5cb-4060-a684-8561819e2471,quad-asset-management-2471,Quad Asset Management,organization,private_equity_firm,,http://www.quadim.com/
f16cebac-6d05-4b28-9770-50e9dbea1d94,capital-f,Capital F,organization,venture_capital,,https://www.capitalf.vc/
8b576d16-988f-453c-b93b-1d4e1443dd40,aum-ventures,AUM Ventures,organization,venture_capital,,https://aumvc.com/
face27ba-588f-4eaf-ae2a-6ac170aebf93,jetha-global,Jetha Global,organization,,,https://jethaglobal.com/
71527ee6-d140-42b2-423e-61222fa6f9a8,cyient,Cyient,organization,,,https://www.cyient.com
4f9ae2a6-fc07-47bb-98a1-09097365155c,barbara-jones-2,Barbara Jones,person,angel_investor,,
155a80b5-ad4b-4fb1-89e9-514650f61460,daniel-lovitz-1460,Daniel Lovitz,person,angel_investor,,
96aed081-bc48-414f-abb4-2383913cf64a,john-brody-f64a,John Brody,person,angel_investor,,
5b450726-fdb0-4c3b-8e4c-4bd25073ac75,matthew-littman,Matthew Littman,person,angel_investor,,
4c4f3e5e-e13f-47d1-a06e-c7007b491743,michael-gibbons-1743,Michael Gibbons,person,angel_investor,,
6309f5d2-f252-4ddf-a291-5e2e53e77db7,michael-schulson,Michael Schulson,person,angel_investor,,
d20f70d3-9d78-4386-a2d1-7f894e680535,patrick-zubrow-0535,Patrick Zubrow,person,angel_investor,,
b7e6cc86-cbe7-48dd-8a23-f3a2b9b71276,private-investor,Private Investor,person,angel_investor,,
485bb807-c172-8e1f-4376-96ec121b2adc,brightspark-ventures,Brightspark Ventures,organization,venture_capital,,http://www.brightspark.com
ba2a0976-9b2a-50b2-400a-c30d9a4909dc,alt-capital,Alt-Capital,organization,"micro_vc,venture_capital",,http://alt-capital.com
c06db491-2ef9-cb6c-baed-9daa8ad4dd1d,liquid-ventures,Liquid Ventures,organization,venture_capital,,http://www.liquidventure.com
a7f7931e-ebc2-479b-84af-9617e7a19bfb,meghan-fitzgerald-9bfb,Meghan Fitzgerald,person,angel_investor,,
d4be73e7-e454-4ba6-a7cf-ed1ccb8491e6,swish-ventures-91e6,Swish Ventures,organization,venture_capital,,https://www.swish.vc/
566e99e7-c72d-426c-a37b-803b8b665f9b,chris-re,Chris Re,person,angel_investor,,
c7692280-5aca-98aa-048b-248b827e27f4,tony-xu,Tony Xu,person,angel_investor,,
51810b5f-808f-ed03-48f7-b70abb2ce18a,edmund-f-murphy-iii,Edmund F. Murphy III,person,angel_investor,,
87549f19-0b50-0841-e822-adcfb777e2e2,vitaliy-goncharuk,Vitaliy Goncharuk,person,angel_investor,,
4cb65bd6-7105-1b64-1c6c-989974acfed4,rpm-ventures,RPM Ventures,organization,venture_capital,,http://www.rpmvc.com
a729c46d-0ce9-8111-5ebb-05a7d87a3cbf,peopletech-partners,PeopleTech Partners,organization,"accelerator,syndicate,venture_capital",,http://www.peopletechpartners.com
137cf1ee-ecb5-4d42-8368-32d9dfa31acd,redesign-health,Redesign Health,organization,venture_capital,,https://www.redesignhealth.com
c9fbf32b-0a67-4cec-aeb6-09f8bb7db1b0,escape-velocity,Escape Velocity,organization,,,http://escapevelocity.com.au
cf0166bb-f355-4f8a-a331-4ff0a4ec66b6,l2-iterative-venture,L2 Iterative Venture,organization,venture_capital,,https://www.l2iterative.com
67b38662-ba14-48d5-8839-b2426f1ee54b,quaker-capital-investments-llc,"Quaker Capital Investments, LLC",organization,"family_investment_office,private_equity_firm",,https://quakercap.com
4fd217ac-4198-b91e-c5e9-5e22cfec740d,lior-gavish,Lior Gavish,person,angel_investor,,
134fe545-2e45-f2f2-72ea-01c96fbf0a87,yoni-broyde,Yoni Broyde,person,angel_investor,,
9f527607-c38e-0c50-7764-c96a808bf162,tracy-young,Tracy Young,person,angel_investor,,
61d41478-ab65-4d26-8f83-b57181598c12,ben-capital-fund,Ben Capital Fund,organization,,,
8579da81-0f08-4235-a63e-bb06e78d075b,skye-inteligencia-latam,SKYE Inteligencia LATAM,organization,,,
52559d0f-7c89-4fb2-84b1-239a52bc5687,corps-capital-advisors,Corps Capital Advisors,organization,,,https://www.corpscapadvisors.com
728c8f95-e9eb-bcd2-d4bb-5f7e314b1ef8,yorkville-advisors,Yorkville Advisors,organization,hedge_fund,,http://www.yorkvilleadvisors.com
5294ba74-4c77-4fb3-a827-22350deae442,tim-sackett-e442,Tim sackett,person,angel_investor,,
