company_uuid,edu_data_available,founder_top_univ_count,founder_univ_degree_avg,founder_univ_pagerank_max,co_alumni_investor_overlap,founder_alumni_network_size,founder_ex_faang_count,founder_ex_startup_count,founder_prior_org_pagerank_max,coworker_investor_overlap,founder_coworker_network_size,founder_industry_diversity,founder_investor_social_proximity,team_network_reach
1527974b-d8aa-b6e3-24be-a0c0674ab3f0,1,2,1355.5,0.014637025750933357,5.0,2701.0,0,0,7.07646386240552e-06,0.0,4.0,4,1.0,2705.0
1ae4f427-6424-2f63-cdd3-a8c7af4f8729,1,2,267.5,0.0032695815508559487,1.0,531.0,0,2,0.0004781642184154791,0.0,282.0,5,1.0,807.0
90a7eb8b-27e9-428a-ad4e-dd7ca9ddf024,0,0,,,,,0,0,,,,0,,
41f18736-2287-4614-aa62-2ba601d44fb7,1,2,1019.8,0.014637025750933357,3.0,4914.0,0,0,4.595807638578022e-05,1.0,21.0,2,1.0,4933.0
1d1be1b1-2a82-4c5b-b850-8b607ad501f1,1,1,562.0,0.008618063397848104,0.0,1680.0,0,0,4.415843751203509e-06,0.0,0.0,2,1.0,1680.0
2c13a150-0405-4ee0-8dfa-96510a022d3d,1,0,151.0,0.0016368665064276744,1.0,599.0,0,0,2.2582465139460353e-05,1.0,20.0,4,1.0,619.0
b46e67d9-287e-4af7-8a3d-6a45dee64af1,1,0,185.66666666666666,0.0023558434765480127,1.0,554.0,0,0,0.00011371291795569099,0.0,71.0,2,1.0,625.0
e584d570-0209-4e21-88cd-029085e2eeee,0,0,,,,,0,0,,,,0,,
4d873fed-e545-4eb5-b231-fa22a0392d46,0,0,,,0.0,,0,0,4.491209179359509e-06,0.0,0.0,2,0.0,0.0
8c0c466e-1656-43ce-a3ce-e1bfb2434c9d,1,1,1324.0,0.008007899771998483,2.0,1323.0,0,0,7.3127111994861875e-06,0.0,3.0,2,1.0,1325.0
5570067a-70b0-43ba-bbba-073abb3a594d,1,0,144.0,0.002316909321568585,1.0,422.0,1,0,0.006956676171922294,1.0,3341.0,2,2.0,3751.0
1fa63a46-d237-4d5b-a819-5dcf55a41785,0,0,,,0.0,,0,0,,0.0,,0,0.0,
0f3e559a-a760-497c-afe4-96c7348012eb,1,2,300.7142857142857,0.0042385648461464726,1.0,2071.0,0,0,8.956053599726386e-06,0.0,2.0,7,1.0,2073.0
16ecd9a8-c34a-80f2-1817-d2b9cab1922a,0,0,,,0.0,,1,0,8.662500113703395e-05,0.0,45.0,5,0.0,45.0
1358e9e4-000f-4afd-b404-5e9a1d4cea08,0,0,,,0.0,,0,0,,0.0,,0,0.0,
58a73d1f-036b-4f21-875d-dfa3f3ef93be,0,0,,,0.0,,0,0,0.0004544955898425575,1.0,204.0,3,1.0,204.0
a4019b99-4093-4292-b46c-b4c6f59005c3,1,0,112.66666666666667,0.0019494821905615342,0.0,335.0,0,0,4.8085273722911705e-06,0.0,0.0,2,0.0,335.0
1d845b32-7d80-47af-957d-78ccbeeaefb6,1,2,608.6666666666666,0.008618063397848104,1.0,3578.0,1,1,0.006210892662814863,1.0,3065.0,29,2.0,6510.0
7eee84a3-dd2c-4811-84e4-828e6da71514,1,1,390.2,0.007841625478944653,10.0,1933.0,0,0,,0.0,,0,1.0,1933.0
c70dc725-e49c-4238-9fd0-90c7941e1751,0,0,,,0.0,,0,0,7.354833964623249e-06,0.0,0.0,1,0.0,0.0
c315deb9-a9f7-4e79-b35a-46162ef3d32f,1,2,907.3333333333334,0.00822202819683725,0.0,2694.0,0,0,1.887888323965246e-05,0.0,8.0,1,0.0,2702.0
06738e8a-94d2-4ad3-92b3-09fc617de1cc,0,0,,,0.0,,0,0,0.00044670034389932093,0.0,214.0,4,1.0,214.0
d023153b-e72e-405d-8d3f-c2e208d503b7,0,0,,,0.0,,0,0,,0.0,,0,0.0,
5626bf80-fd0f-4986-bf26-6638f3488185,0,0,,,0.0,,0,0,8.584051447494529e-06,0.0,0.0,1,0.0,0.0
4ab44387-b0de-495e-a015-295c1d25901e,0,0,,,,,0,0,,,,0,,
70e707da-3a79-4db8-b2e2-dc214692da64,1,0,48.666666666666664,0.0008438742210865737,0.0,143.0,0,0,8.384560538978508e-06,0.0,0.0,4,0.0,143.0
eb36b15a-a074-474b-839c-af29291ee875,0,0,,,,,0,0,,,,0,,
06cd8405-c9de-4822-8511-ecf2e459e7b9,1,1,1324.0,0.008007899771998483,4.0,1323.0,0,0,,0.0,,0,1.0,1323.0
7d871d44-7c62-4624-9f35-9c4eb3ab84da,1,0,62.666666666666664,0.0012184960728598793,0.0,185.0,0,0,0.00014138128629915647,0.0,98.0,3,1.0,272.0
b55bae62-1d44-4583-b91c-911096751102,1,1,451.0,0.0027397996679028786,0.0,450.0,0,0,0.00018605799923968508,4.0,98.0,4,1.0,547.0
862f9991-1334-f47a-a02e-a270797a1170,1,0,174.0,0.0017450689960682758,2.0,346.0,0,0,0.0006689257796736743,1.0,321.0,3,1.0,657.0
7ded474d-1da5-4ef6-ae33-b0de2503f729,1,0,23.0,0.00019449112079869408,0.0,66.0,0,0,4.415966391418254e-05,0.0,22.0,2,0.0,88.0
84b486a1-3652-4c3f-bc36-a6bce2830640,0,0,,,0.0,,0,0,,0.0,,0,0.0,
4e5b2a02-9e4b-491f-9f5a-260d544770fb,1,0,30.5,0.0003244371016740979,0.0,59.0,0,0,0.00043085012833670144,1.0,195.0,1,1.0,253.0
876da9ac-8520-4c97-997d-6d9056c498f5,1,1,652.3333333333334,0.00822202819683725,7.0,1943.0,0,0,,0.0,,0,1.0,1943.0
8c596d63-78f6-41fe-afb2-0be579d967ba,0,0,,,0.0,,0,0,,0.0,,0,0.0,
e7eda1ec-2419-4fb6-80b7-1fbc03405e85,1,1,1442.5,0.008618063397848104,0.0,2826.0,0,1,2.7949237558387495e-05,0.0,33.0,6,0.0,2854.0
c6c40461-42ae-4491-b5ba-69eaba8ff599,1,0,102.0,0.0012802745779096013,0.0,202.0,0,1,1.82705276848443e-05,0.0,19.0,9,0.0,220.0
c9c0be01-3ba1-afe7-b84c-86cd47df2f9d,1,0,11.0,7.399186162022362e-05,0.0,10.0,0,0,5.715877320794872e-06,0.0,0.0,2,0.0,10.0
2f950e88-bfa4-4395-8f2f-cb262d746005,1,1,757.6666666666666,0.007841625478944653,0.0,2209.0,0,0,6.125616481751967e-06,0.0,0.0,1,0.0,2209.0
276ee135-b2dc-1803-d5ec-1b3ca6c64afd,1,2,395.6666666666667,0.003908475218421671,1.0,1181.0,0,0,9.330693318459539e-06,0.0,3.0,3,1.0,1184.0
5f0887a0-bcd0-482a-a7e2-a893db65485f,0,0,,,0.0,,0,0,,0.0,,0,0.0,
6d16a2d7-403a-4ffd-9f99-94c77586026a,0,0,,,,,0,0,,,,0,,
586e1647-5095-4818-b71e-4b3c236c89ff,1,0,30.0,0.00032610856615250625,0.0,58.0,0,1,8.64041558836987e-05,1.0,83.0,7,1.0,140.0
dba6a627-81d4-4eb4-9179-45ed73708c5f,0,0,,,,,0,0,,,,0,,
8cbd7e5a-c197-41fd-b567-5b0d8b81e03e,0,0,,,0.0,,0,0,4.868940285408335e-05,0.0,24.0,3,0.0,24.0
1a6b7e7c-62c7-4f1b-9402-d598a3d169cb,1,2,383.3333333333333,0.003960749167964112,1.0,1143.0,0,0,7.2765476526796315e-06,0.0,2.0,1,1.0,1144.0
26313287-291e-0124-b2ee-054e5e334cf7,1,0,171.0,0.0010124791817272263,0.0,170.0,0,1,5.562815996195496e-05,5.0,27.0,8,3.0,197.0
56a0258b-278d-4988-bc15-696443c373b0,0,0,,,0.0,,0,1,1.5936570457056726e-05,0.0,4.0,1,0.0,4.0
f929a098-f21f-476f-9de9-619c5448077e,1,0,112.0,0.0011775922373586623,0.0,436.0,0,0,0.0005417755301735905,1.0,297.0,7,1.0,730.0
a0255352-8b98-7175-e96b-579b7115f91a,1,0,173.0,0.001076408281777734,0.0,172.0,0,0,8.67840646815605e-06,0.0,2.0,1,0.0,174.0
123476b0-889c-4cec-aa5d-7ff5d1e0c24c,1,0,238.0,0.002316909321568585,0.0,467.0,0,0,3.2842368929647196e-05,0.0,19.0,5,0.0,486.0
e5242d3b-1bed-4ea2-b3e2-ef9bcdad812e,1,1,522.0,0.0032695815508559487,2.0,521.0,0,0,,0.0,,0,1.0,521.0
dcb70335-2c6c-4b4e-8615-4e32424671a5,0,0,,,,,0,0,,,,0,,
906bafb6-47ba-4749-9119-4406b2910e7d,1,0,53.0,0.00036981567336317583,0.0,52.0,0,0,,0.0,,0,1.0,52.0
b230898a-f323-4506-8c5b-a5472d42390b,1,0,29.0,0.00021444156215659653,0.0,55.0,0,2,1.260020816700666e-05,0.0,4.0,2,0.0,59.0
3d1369d9-48ab-4a79-a8f7-7eb86c05c430,1,0,6.25,8.453237852463088e-05,0.0,20.0,0,0,1.1259111441505135e-05,0.0,4.0,3,0.0,24.0
fc99d2e5-9705-4907-bacc-fb2b4689aac1,1,1,672.0,0.008007899771998483,0.0,1342.0,0,0,5.163621839460539e-06,0.0,0.0,1,0.0,1342.0
049652d8-1c21-43e5-bd15-414b5146fc9e,1,2,972.5,0.00822202819683725,1.0,1932.0,0,0,4.026826881840582e-06,0.0,0.0,1,1.0,1932.0
caff4a7a-b20f-4afc-b090-2a31481f8cb8,1,1,267.85714285714283,0.004456047062219714,2.0,1774.0,0,0,7.061805804897418e-05,2.0,98.0,33,3.0,1865.0
eb176350-a920-46f2-4255-23ca58f58ce6,1,0,74.0,0.0008354413923216293,1.0,146.0,1,1,0.006956676171922294,3.0,3350.0,11,1.0,3488.0
76b76eaa-331f-9ce3-3722-fdc82e296cf2,0,0,,,0.0,,0,0,4.573025030234657e-06,0.0,0.0,1,0.0,0.0
2c0e8956-3bc8-48c7-a367-44c983e2e5c9,1,0,78.0,0.0004911014982389457,0.0,77.0,0,0,4.8085273722911705e-06,0.0,0.0,2,0.0,77.0
87f1a4da-1320-4d4a-8747-2375f8ad3ee5,0,0,,,,,0,0,,,,0,,
ac2d4843-e239-4321-b605-85f992dbae53,1,1,473.3333333333333,0.00822202819683725,0.0,1417.0,0,0,0.000275336986779482,0.0,134.0,4,0.0,1542.0
7a99332b-2ee1-49a7-b861-9c408172020e,0,0,,,0.0,,1,0,0.0005400402607427847,1.0,272.0,2,1.0,272.0
302c9087-809f-40e9-99cb-d6ab327a7486,1,2,405.75,0.004511471299560445,1.0,1608.0,0,0,3.936341956679162e-06,0.0,0.0,1,1.0,1608.0
7aeb6366-a2d8-459f-8bb6-7d112c482d6a,1,1,802.1428571428571,0.014637025750933357,1.0,5304.0,1,0,0.006210892662814863,1.0,4440.0,8,2.0,9506.0
beb2c977-87b7-406b-8754-b160cbacb70a,1,0,6.0,4.8786358219537905e-05,0.0,5.0,0,0,1.3340260655113566e-05,0.0,10.0,5,0.0,15.0
96f1b117-9684-4f89-9066-655534d9b23d,1,0,154.66666666666666,0.002694900462034442,0.0,461.0,0,0,1.0321943162101955e-05,0.0,4.0,2,1.0,465.0
35712ed4-466a-ba44-67bf-4bd7717babb0,1,0,92.5,0.001166789756929065,0.0,183.0,0,0,9.638643190075051e-06,0.0,1.0,11,0.0,184.0
d65024d7-58fb-4788-ad27-6218f7d93f55,1,0,30.0,0.0004200459499774785,3.0,116.0,0,0,,0.0,,0,1.0,116.0
51bdf4f2-35ba-47cd-b7a9-48e878ee21e8,0,0,,,0.0,,0,0,,0.0,,0,0.0,
49fc9110-c3d8-40bf-98b2-32a1cd82f33b,0,0,,,0.0,,0,0,7.842286618005736e-06,0.0,1.0,2,0.0,1.0
024de451-b2ed-4e5f-965f-96464a917404,0,0,,,,,0,0,,,,0,,
89f534fb-b6b0-edfa-e996-3fe7d656784b,1,0,158.0,0.0011775922373586623,2.0,311.0,0,0,0.00033063860796699035,0.0,162.0,1,1.0,473.0
d8fd4c74-3bbe-4eea-82bd-828a5e2903be,1,1,946.5,0.007841625478944653,2.0,1873.0,0,0,0.00010406393131832062,0.0,54.0,1,1.0,1903.0
9bcd4f9f-3ecb-4f07-9353-45f6e6bc5ca0,0,0,,,,,0,0,,,,0,,
2f55ff97-8569-424d-b12c-8bdd2fc4e466,1,1,371.0,0.008007899771998483,2.0,1844.0,0,0,,0.0,,0,1.0,1844.0
c8e0d681-aba4-0ce5-93a5-1980f2190b14,1,0,127.0,0.0011775922373586623,1.0,251.0,0,0,8.142401262609956e-05,0.0,38.0,3,1.0,289.0
f2baa0e7-0bc3-4559-80d0-1c50d5a4e05c,1,2,391.0,0.00822202819683725,3.0,2323.0,0,0,4.055188946488823e-05,0.0,39.0,4,1.0,2359.0
c229b33b-8574-4206-9647-f5d0865c7087,0,0,,,,,0,0,,,,0,,
65eabde3-a424-4cbe-b6b0-03c9c3df635c,0,0,,,,,0,0,,,,0,,
faf8636c-60bd-4ea4-96fa-865a3685d6a9,1,1,291.0,0.0030287531794781766,0.0,579.0,0,0,4.720787900141131e-06,0.0,0.0,1,0.0,579.0
